epoch: 0, iteration: 32000, simlex-999: SpearmanrResult(correlation=-0.07004836363347842, pvalue=0.030249708286721255), men: SpearmanrResult(correlation=0.027597078663311698, pvalue=0.16021988771278137), sim353: SpearmanrResult(correlation=-0.06643111242848869, pvalue=0.23749282313261166), nearest to monster: ['monster', 'jack', 'committed', 'participate', 'stable', 'reasons', 'liberty', 'channels', 'month', 'financial']
epoch: 0, iteration: 34000, simlex-999: SpearmanrResult(correlation=-0.06810365273062503, pvalue=0.03516029720753692), men: SpearmanrResult(correlation=0.027409738797243923, pvalue=0.1630774708200427), sim353: SpearmanrResult(correlation=-0.06916573848387679, pvalue=0.21869027225956555), nearest to monster: ['monster', 'jack', 'committed', 'stable', 'participate', 'reasons', 'channels', 'liberty', 'month', 'financial']
epoch: 0, iteration: 36000, simlex-999: SpearmanrResult(correlation=-0.06653518643734808, pvalue=0.03960124147287615), men: SpearmanrResult(correlation=0.0284422225091732, pvalue=0.14779713345494339), sim353: SpearmanrResult(correlation=-0.06961037644034443, pvalue=0.2157365648299532), nearest to monster: ['monster', 'jack', 'committed', 'participate', 'stable', 'liberty', 'channels', 'reasons', 'month', 'financial']
epoch: 0, iteration: 38000, simlex-999: SpearmanrResult(correlation=-0.06699674327990385, pvalue=0.03824754287672606), men: SpearmanrResult(correlation=0.026694798992289763, pvalue=0.1743363308233748), sim353: SpearmanrResult(correlation=-0.07002777262524501, pvalue=0.21298994625574313), nearest to monster: ['monster', 'jack', 'committed', 'participate', 'stable', 'channels', 'liberty', 'reasons', 'month', 'financial']
epoch: 0, iteration: 40000, simlex-999: SpearmanrResult(correlation=-0.0655379533856448, pvalue=0.04266511048636075), men: SpearmanrResult(correlation=0.02717772085400754, pvalue=0.1666695868969715), sim353: SpearmanrResult(correlation=-0.07053323809904731, pvalue=0.20969755032393722), nearest to monster: ['monster', 'jack', 'committed', 'participate', 'stable', 'channels', 'liberty', 'month', 'reasons', 'artificially']
epoch: 0, iteration: 42000, simlex-999: SpearmanrResult(correlation=-0.0652249091078662, pvalue=0.043667241049337), men: SpearmanrResult(correlation=0.028017938467423113, pvalue=0.15393848288400833), sim353: SpearmanrResult(correlation=-0.07214386119607992, pvalue=0.19945155035250206), nearest to monster: ['monster', 'jack', 'participate', 'committed', 'channels', 'stable', 'liberty', 'month', 'reasons', 'kievan']
epoch: 0, iteration: 44000, simlex-999: SpearmanrResult(correlation=-0.06400625582959557, pvalue=0.04775947425024846), men: SpearmanrResult(correlation=0.027128923604699998, pvalue=0.16743257823952407), sim353: SpearmanrResult(correlation=-0.07249483223935127, pvalue=0.19726798395146047), nearest to monster: ['monster', 'jack', 'participate', 'committed', 'stable', 'liberty', 'channels', 'month', 'reasons', 'kievan']
epoch: 0, iteration: 46000, simlex-999: SpearmanrResult(correlation=-0.0633794826950544, pvalue=0.04998654878203226), men: SpearmanrResult(correlation=0.02813936674377627, pvalue=0.15216138041384938), sim353: SpearmanrResult(correlation=-0.06911218787812512, pvalue=0.21904794750967932), nearest to monster: ['monster', 'jack', 'participate', 'committed', 'liberty', 'stable', 'channels', 'month', 'kievan', 'artificially']
epoch: 0, iteration: 48000, simlex-999: SpearmanrResult(correlation=-0.06308024637538198, pvalue=0.0510800864747906), men: SpearmanrResult(correlation=0.029349960312163956, pvalue=0.13528841480813375), sim353: SpearmanrResult(correlation=-0.06766203001087101, pvalue=0.22889325049358716), nearest to monster: ['monster', 'jack', 'committed', 'channels', 'participate', 'liberty', 'month', 'stable', 'artificially', 'kievan']
epoch: 0, iteration: 50000, simlex-999: SpearmanrResult(correlation=-0.06193080403238824, pvalue=0.05546828942309601), men: SpearmanrResult(correlation=0.03033590304292753, pvalue=0.12264545911489591), sim353: SpearmanrResult(correlation=-0.06900975135353396, pvalue=0.21973330603989813), nearest to monster: ['monster', 'jack', 'committed', 'month', 'channels', 'participate', 'liberty', 'stable', 'kievan', 'artificially']
